Time,company,Open,High,Low,Last,Close,Volume
43371,Alphabet Inc Class A (GOOGL),154.11,157.07,154.06,156.95,154.09,12433000000
43370,Alphabet Inc Class A (GOOGL),154.11,157.63,154.06,157.62,154.09,12433000000
43369,Alphabet Inc Class A (GOOGL),154.11,157.64,154.06,156.91,154.09,12433000000
43368,Alphabet Inc Class A (GOOGL),154.11,157.64,154.06,156.58,154.09,12433000000
43367,Alphabet Inc Class A (GOOGL),154.11,157.64,154.06,156.28,154.09,12433000000
43364,Alphabet Inc Class A (GOOGL),154.11,157.64,154.06,156.28,154.09,12433000000
43362,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43361,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43360,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43357,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43355,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43354,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43353,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43350,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43349,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43348,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43347,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43346,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43343,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43342,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43341,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43340,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43339,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43336,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43335,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43333,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43332,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43329,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43328,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43326,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43325,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43322,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43321,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43320,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43319,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43318,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43315,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43314,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43313,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43312,Alphabet Inc Class A (GOOGL),154.31,157.64,154.06,156.28,154.09,12433000000
43311,Alphabet Inc Class A (GOOGL),156.95,157.47,156.28,157.41,156.28,12433000000
43308,Alphabet Inc Class A (GOOGL),156.95,158.29,156.28,157.55,156.28,12433000000
43307,Alphabet Inc Class A (GOOGL),156.95,158.38,156.28,158.01,156.28,12433000000
43306,Alphabet Inc Class A (GOOGL),156.95,158.39,156.28,158.29,156.28,12433000000
43305,Alphabet Inc Class A (GOOGL),156.95,158.63,156.28,158.43,156.28,12433000000
43304,Alphabet Inc Class A (GOOGL),156.95,158.7,156.28,158.47,156.28,12433000000
43301,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.77,156.28,12433000000
43300,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.78,156.28,12433000000
43299,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.6,156.28,12433000000
43298,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.47,156.28,12433000000
43297,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.35,156.28,12433000000
43294,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.26,156.28,12433000000
43293,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.2,156.28,12433000000
43292,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43291,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43290,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43287,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43286,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43285,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43284,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43283,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43280,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43279,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43278,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43277,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43276,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43273,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43272,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43271,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43270,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43269,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43266,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43265,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43264,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43263,Alphabet Inc Class A (GOOGL),156.95,158.97,156.28,158.27,156.28,12433000000
43262,,,,,,,
43259,,,,,,,
43258,,,,,,,
43257,,,,,,,
43256,,,,,,,
43255,,,,,,,
43252,,,,,,,
43251,,,,,,,
43250,,,,,,,
43249,,,,,,,
43248,,,,,,,
43245,,,,,,,
43244,,,,,,,
43243,,,,,,,
43242,,,,,,,
43241,,,,,,,
43238,,,,,,,
43237,,,,,,,
43236,,,,,,,
43235,,,,,,,
43234,,,,,,,
43231,,,,,,,
43230,,,,,,,
43229,,,,,,,
43228,,,,,,,
43227,,,,,,,
43224,,,,,,,
43223,,,,,,,
43222,,,,,,,
43220,,,,,,,
43217,,,,,,,
43216,,,,,,,
43215,,,,,,,
43214,,,,,,,
43213,,,,,,,
43210,,,,,,,
43209,,,,,,,
43208,,,,,,,
43207,,,,,,,
43206,,,,,,,
43203,,,,,,,
43202,,,,,,,
43201,,,,,,,
43200,,,,,,,
43199,,,,,,,
43196,,,,,,,
43195,,,,,,,
43194,,,,,,,
43193,,,,,,,
43192,,,,,,,
43187,,,,,,,
43186,,,,,,,
43185,,,,,,,
43182,,,,,,,
43181,,,,,,,
43180,,,,,,,
43179,,,,,,,
43178,,,,,,,
43175,,,,,,,
43174,,,,,,,
43173,,,,,,,
43172,,,,,,,
43171,,,,,,,
43168,,,,,,,
43167,,,,,,,
43166,,,,,,,
43165,,,,,,,
43164,,,,,,,
43160,,,,,,,
43159,,,,,,,
43158,,,,,,,
43157,,,,,,,
43154,,,,,,,
43153,,,,,,,
43152,,,,,,,
43151,,,,,,,
43150,,,,,,,
43147,,,,,,,
43146,,,,,,,
43145,,,,,,,
43143,,,,,,,
43140,,,,,,,
43139,,,,,,,
43138,,,,,,,
43137,,,,,,,
43136,,,,,,,
43133,,,,,,,
43132,,,,,,,
43131,,,,,,,
43130,,,,,,,
43129,,,,,,,
43125,,,,,,,
43124,,,,,,,
43123,,,,,,,
43122,,,,,,,
43119,,,,,,,
43118,,,,,,,
43117,,,,,,,
43116,,,,,,,
43115,,,,,,,
43112,,,,,,,
43111,,,,,,,
43110,,,,,,,
43109,,,,,,,
43108,,,,,,,
43105,,,,,,,
43104,,,,,,,
43103,,,,,,,
43102,,,,,,,
43101,,,,,,,
43098,,,,,,,
43097,,,,,,,
43096,,,,,,,
43095,,,,,,,
43091,,,,,,,
43090,,,,,,,
43089,,,,,,,
43088,,,,,,,
43087,,,,,,,
43084,,,,,,,
43083,,,,,,,
43082,,,,,,,
43081,,,,,,,
43080,,,,,,,
43077,,,,,,,
43076,,,,,,,
43075,,,,,,,
43074,,,,,,,
43073,,,,,,,
43070,,,,,,,
43069,,,,,,,
43068,,,,,,,
43067,,,,,,,
43066,,,,,,,
43063,,,,,,,
43062,,,,,,,
43061,,,,,,,
43060,,,,,,,
43059,,,,,,,
43056,,,,,,,
43055,,,,,,,
43054,,,,,,,
43053,,,,,,,
43052,,,,,,,
43049,,,,,,,
43048,,,,,,,
43047,,,,,,,
43046,,,,,,,
43045,,,,,,,
43042,,,,,,,
43041,,,,,,,
43040,,,,,,,
43039,,,,,,,
43038,,,,,,,
43035,,,,,,,
43034,,,,,,,
43033,,,,,,,
43032,,,,,,,
43031,,,,,,,
43027,,,,,,,
43026,,,,,,,
43025,,,,,,,
43024,,,,,,,
43021,,,,,,,
43020,,,,,,,
43019,,,,,,,
43018,,,,,,,
43017,,,,,,,
43014,,,,,,,
43013,,,,,,,
43012,,,,,,,
43011,,,,,,,
43007,,,,,,,
43006,,,,,,,
43005,,,,,,,
43004,,,,,,,
43003,,,,,,,
43000,,,,,,,
42999,,,,,,,
42998,,,,,,,
42997,,,,,,,
42996,,,,,,,
42993,,,,,,,
42992,,,,,,,
42991,,,,,,,
42990,,,,,,,
42989,,,,,,,
42986,,,,,,,
42985,,,,,,,
42984,,,,,,,
42983,,,,,,,
42982,,,,,,,
42979,,,,,,,
42978,,,,,,,
42977,,,,,,,
42976,,,,,,,
42975,,,,,,,
42971,,,,,,,
42970,,,,,,,
42969,,,,,,,
42968,,,,,,,
42965,,,,,,,
42964,,,,,,,
42963,,,,,,,
42961,,,,,,,
42958,,,,,,,
42957,,,,,,,
42956,,,,,,,
42955,,,,,,,
42954,,,,,,,
42951,,,,,,,
42950,,,,,,,
42949,,,,,,,
42948,,,,,,,
42947,,,,,,,
42944,,,,,,,
42943,,,,,,,
42942,,,,,,,
42941,,,,,,,
42940,,,,,,,
42937,,,,,,,
42936,,,,,,,
42935,,,,,,,
42934,,,,,,,
42933,,,,,,,
42930,,,,,,,
42929,,,,,,,
42928,,,,,,,
42927,,,,,,,
42926,,,,,,,
42923,,,,,,,
42922,,,,,,,
42921,,,,,,,
42920,,,,,,,
42919,,,,,,,
42916,,,,,,,
42915,,,,,,,
42914,,,,,,,
42913,,,,,,,
42909,,,,,,,
42908,,,,,,,
42907,,,,,,,
42906,,,,,,,
42905,,,,,,,
42902,,,,,,,
42901,,,,,,,
42900,,,,,,,
42899,,,,,,,
42898,,,,,,,
42895,,,,,,,
42894,,,,,,,
42893,,,,,,,
42892,,,,,,,
42891,,,,,,,
42888,,,,,,,
42887,,,,,,,
42886,,,,,,,
42885,,,,,,,
42884,,,,,,,
42881,,,,,,,
42880,,,,,,,
42879,,,,,,,
42878,,,,,,,
42877,,,,,,,
42874,,,,,,,
42873,,,,,,,
42872,,,,,,,
42871,,,,,,,
42870,,,,,,,
42867,,,,,,,
42866,,,,,,,
42865,,,,,,,
42864,,,,,,,
42863,,,,,,,
42860,,,,,,,
42859,,,,,,,
42858,,,,,,,
42857,,,,,,,
42853,,,,,,,
42852,,,,,,,
42851,,,,,,,
42850,,,,,,,
42849,,,,,,,
42846,,,,,,,
42845,,,,,,,
42844,,,,,,,
42843,,,,,,,
42842,,,,,,,
42838,,,,,,,
42837,,,,,,,
42836,,,,,,,
42835,,,,,,,
42832,,,,,,,
42831,,,,,,,
42830,,,,,,,
42828,,,,,,,
42825,,,,,,,
42824,,,,,,,
42823,,,,,,,
42822,,,,,,,
42821,,,,,,,
42818,,,,,,,
42817,,,,,,,
42816,,,,,,,
42815,,,,,,,
42814,,,,,,,
42811,,,,,,,
42810,,,,,,,
42809,,,,,,,
42808,,,,,,,
42804,,,,,,,
42803,,,,,,,
42802,,,,,,,
42801,,,,,,,
42800,,,,,,,
42797,,,,,,,
42796,,,,,,,
42795,,,,,,,
42794,,,,,,,
42793,,,,,,,
42789,,,,,,,
42788,,,,,,,
42787,,,,,,,
42786,,,,,,,
42783,,,,,,,
42782,,,,,,,
42781,,,,,,,
42780,,,,,,,
42779,,,,,,,
42776,,,,,,,
42775,,,,,,,
42774,,,,,,,
42773,,,,,,,
42772,,,,,,,
42769,,,,,,,
42768,,,,,,,
42767,,,,,,,
42766,,,,,,,
42765,,,,,,,
42762,,,,,,,
42760,,,,,,,
42759,,,,,,,
42758,,,,,,,
42755,,,,,,,
42754,,,,,,,
42753,,,,,,,
42752,,,,,,,
42751,,,,,,,
42748,,,,,,,
42747,,,,,,,
42746,,,,,,,
42745,,,,,,,
42744,,,,,,,
42741,,,,,,,
42740,,,,,,,
42739,,,,,,,
42738,,,,,,,
42737,,,,,,,
42734,,,,,,,
42733,,,,,,,
42732,,,,,,,
42731,,,,,,,
42730,,,,,,,
42727,,,,,,,
42726,,,,,,,
42725,,,,,,,
42724,,,,,,,
42723,,,,,,,
42720,,,,,,,
42719,,,,,,,
42718,,,,,,,
42717,,,,,,,
42716,,,,,,,
42713,,,,,,,
42712,,,,,,,
42711,,,,,,,
42710,,,,,,,
42709,,,,,,,
42706,,,,,,,
42705,,,,,,,
42704,,,,,,,
42703,,,,,,,
42702,,,,,,,
42699,,,,,,,
42698,,,,,,,
42697,,,,,,,
42696,,,,,,,
42695,,,,,,,
42692,,,,,,,
42691,,,,,,,
42690,,,,,,,
42689,,,,,,,
42685,,,,,,,
42684,,,,,,,
42683,,,,,,,
42682,,,,,,,
42681,,,,,,,
42678,,,,,,,
42677,,,,,,,
42676,,,,,,,
42675,,,,,,,
42673,,,,,,,
42671,,,,,,,
42670,,,,,,,
42669,,,,,,,
42668,,,,,,,
42667,,,,,,,
42664,,,,,,,
42663,,,,,,,
42662,,,,,,,
42661,,,,,,,
42660,,,,,,,
42657,,,,,,,
42656,,,,,,,
42653,,,,,,,
42650,,,,,,,
42649,,,,,,,
42648,,,,,,,
42647,,,,,,,
42646,,,,,,,
42643,,,,,,,
42642,,,,,,,
42641,,,,,,,
42640,,,,,,,
42639,,,,,,,
42636,,,,,,,
42635,,,,,,,
42634,,,,,,,
42633,,,,,,,
42632,,,,,,,
42629,,,,,,,
42628,,,,,,,
42627,,,,,,,
42625,,,,,,,
42622,,,,,,,
42621,,,,,,,
42620,,,,,,,
42619,,,,,,,
42615,,,,,,,
42614,,,,,,,
42613,,,,,,,
42612,,,,,,,
42611,,,,,,,
42608,,,,,,,
42607,,,,,,,
42606,,,,,,,
42605,,,,,,,
42604,,,,,,,
42601,,,,,,,
42600,,,,,,,
42599,,,,,,,
42598,,,,,,,
42594,,,,,,,
42593,,,,,,,
42592,,,,,,,
42591,,,,,,,
42590,,,,,,,
42587,,,,,,,
42586,,,,,,,
42585,,,,,,,
42584,,,,,,,
42583,,,,,,,
42580,,,,,,,
42579,,,,,,,
42578,,,,,,,
42577,,,,,,,
42576,,,,,,,
42573,,,,,,,
42572,,,,,,,
42571,,,,,,,
42570,,,,,,,
42569,,,,,,,
42566,,,,,,,
42565,,,,,,,
42564,,,,,,,
42563,,,,,,,
42562,,,,,,,
42559,,,,,,,
42558,,,,,,,
42556,,,,,,,
42555,,,,,,,
42552,,,,,,,
42551,,,,,,,
42550,,,,,,,
42549,,,,,,,
42548,,,,,,,
42545,,,,,,,
42544,,,,,,,
42543,,,,,,,
42542,,,,,,,
42541,,,,,,,
42538,,,,,,,
42537,,,,,,,
42536,,,,,,,
42535,,,,,,,
42534,,,,,,,
42531,,,,,,,
42530,,,,,,,
42529,,,,,,,
42528,,,,,,,
42527,,,,,,,
42524,,,,,,,
42523,,,,,,,
42522,,,,,,,
42521,,,,,,,
42520,,,,,,,
42517,,,,,,,
42516,,,,,,,
42515,,,,,,,
42514,,,,,,,
42513,,,,,,,
42510,,,,,,,
42509,,,,,,,
42508,,,,,,,
42507,,,,,,,
42506,,,,,,,
42503,,,,,,,
42502,,,,,,,
42501,,,,,,,
42500,,,,,,,
42499,,,,,,,
42496,,,,,,,
42495,,,,,,,
42494,,,,,,,
42493,,,,,,,
42492,,,,,,,
42489,,,,,,,
42488,,,,,,,
42487,,,,,,,
42486,,,,,,,
42485,,,,,,,
42482,,,,,,,
42481,,,,,,,
42480,,,,,,,
42478,,,,,,,
42473,,,,,,,
42472,,,,,,,
42471,,,,,,,
42468,,,,,,,
42467,,,,,,,
42466,,,,,,,
42465,,,,,,,
42464,,,,,,,
42461,,,,,,,
42460,,,,,,,
42459,,,,,,,
42458,,,,,,,
42457,,,,,,,
42452,,,,,,,
42451,,,,,,,
42450,,,,,,,
42447,,,,,,,
42446,,,,,,,
42445,,,,,,,
42444,,,,,,,
42443,,,,,,,
42440,,,,,,,
42439,,,,,,,
42438,,,,,,,
42437,,,,,,,
42433,,,,,,,
42432,,,,,,,
42431,,,,,,,
42430,,,,,,,
42429,,,,,,,
42426,,,,,,,
42425,,,,,,,
42424,,,,,,,
42423,,,,,,,
42422,,,,,,,
42419,,,,,,,
42418,,,,,,,
42417,,,,,,,
42416,,,,,,,
42415,,,,,,,
42412,,,,,,,
42411,,,,,,,
42410,,,,,,,
42409,,,,,,,
42408,,,,,,,
42405,,,,,,,
