Time;company;Open;High;Low;Last;Close;Volume
22/04/2024 19.53;Alphabet Inc Class A (GOOGL);154,11;157,07;154,06;156,95;154,09;12433000000
22/04/2024 20.35;Alphabet Inc Class A (GOOGL);154,11;157,63;154,06;157,62;154,09;12433000000
22/04/2024 21.05;Alphabet Inc Class A (GOOGL);154,11;157,64;154,06;156,91;154,09;12433000000
22/04/2024 21.35;Alphabet Inc Class A (GOOGL);154,11;157,64;154,06;156,58;154,09;12433000000
22/04/2024 22.05;Alphabet Inc Class A (GOOGL);154,11;157,64;154,06;156,28;154,09;12433000000
22/04/2024 22.15;Alphabet Inc Class A (GOOGL);154,11;157,64;154,06;156,28;154,09;12433000000
22/04/2024 22.45;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
22/04/2024 23.15;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
22/04/2024 23.45;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 00.15;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 00.45;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 01.16;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 01.46;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 02.16;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 02.46;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 03.16;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 03.46;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 04.16;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 04.46;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 05.17;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 05.47;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 06.17;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 06.47;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 07.17;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 07.47;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 08.17;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 08.47;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 09.18;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 09.48;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 10.18;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 10.49;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 11.19;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 11.42;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
23/04/2024 12.12;Alphabet Inc Class A (GOOGL);154,31;157,64;154,06;156,28;154,09;12433000000
