Time,company,Open,High,Low,Last,Close,Volume
2024-04-24 10:42:33,Oersted AS (ORSTED),390.6,390.6,385.9,385.9,389.3,420230296.0
2024-04-24 10:42:45,Oersted AS (ORSTED),390.6,390.6,385.9,385.9,389.3,420230296.0
2024-04-24 10:42:58,Oersted AS (ORSTED),390.6,390.6,386.0,386.3,389.3,420230296.0
2024-04-24 10:43:11,Oersted AS (ORSTED),390.6,390.6,385.9,385.9,389.3,420230296.0
2024-04-24 10:43:24,Oersted AS (ORSTED),390.6,390.6,385.9,385.9,389.3,420230296.0
2024-04-24 10:43:37,Oersted AS (ORSTED),390.6,390.6,385.9,385.9,389.3,420230296.0
2024-04-24 10:43:51,Oersted AS (ORSTED),390.6,390.6,385.9,385.9,389.3,420230296.0
2024-04-24 10:44:03,Oersted AS (ORSTED),390.6,390.6,385.6,385.8,389.3,420230296.0
2024-04-24 10:44:16,Oersted AS (ORSTED),390.6,390.6,385.6,385.8,389.3,420230296.0
2024-04-24 10:44:29,Oersted AS (ORSTED),390.6,390.6,385.6,385.8,389.3,420230296.0
2024-04-24 10:44:42,Oersted AS (ORSTED),390.6,390.6,385.6,385.8,389.3,420230296.0
2024-04-24 10:44:55,Oersted AS (ORSTED),390.6,390.6,385.6,385.8,389.3,420230296.0
2024-04-24 10:45:08,Oersted AS (ORSTED),390.6,390.6,385.6,385.8,389.3,420230296.0
2024-04-24 10:45:21,Oersted AS (ORSTED),390.6,390.6,385.6,385.8,389.3,420230296.0
2024-04-24 10:45:34,Oersted AS (ORSTED),390.6,390.6,385.6,385.8,389.3,420230296.0
2024-04-24 10:45:49,Oersted AS (ORSTED),390.6,390.6,385.6,385.8,389.3,420230296.0
2024-04-24 10:46:02,Oersted AS (ORSTED),390.6,390.6,385.6,385.8,389.3,420230296.0
2024-04-24 10:46:18,Oersted AS (ORSTED),390.6,390.6,385.5,385.5,389.3,420230296.0
2024-04-24 10:46:30,Oersted AS (ORSTED),390.6,390.6,385.5,385.5,389.3,420230296.0
2024-04-24 10:46:43,Oersted AS (ORSTED),390.6,390.6,385.5,385.5,389.3,420230296.0
2024-04-24 10:46:56,Oersted AS (ORSTED),390.6,390.6,385.5,385.5,389.3,420230296.0
2024-04-24 10:47:09,Oersted AS (ORSTED),390.6,390.6,385.5,385.5,389.3,420230296.0
2024-04-24 10:47:22,Oersted AS (ORSTED),390.6,390.6,385.5,385.8,389.3,420230296.0
2024-04-24 10:47:35,Oersted AS (ORSTED),390.6,390.6,385.5,385.8,389.3,420230296.0
2024-04-24 10:47:48,Oersted AS (ORSTED),390.6,390.6,385.5,385.8,389.3,420230296.0
2024-04-24 10:48:01,Oersted AS (ORSTED),390.6,390.6,385.5,385.8,389.3,420230296.0
2024-04-24 10:48:13,Oersted AS (ORSTED),390.6,390.6,385.5,385.8,389.3,420230296.0
2024-04-24 10:48:26,Oersted AS (ORSTED),390.6,390.6,385.5,385.8,389.3,420230296.0
2024-04-24 10:48:39,Oersted AS (ORSTED),390.6,390.6,385.5,385.6,389.3,420230296.0
2024-04-24 10:48:52,Oersted AS (ORSTED),390.6,390.6,385.5,385.6,389.3,420230296.0
2024-04-24 10:49:05,Oersted AS (ORSTED),390.6,390.6,385.5,385.5,389.3,420230296.0
2024-04-24 10:49:18,Oersted AS (ORSTED),390.6,390.6,385.5,385.6,389.3,420230296.0
2024-04-24 10:49:31,Oersted AS (ORSTED),390.6,390.6,385.4,385.4,389.3,420230296.0
2024-04-24 10:49:44,Oersted AS (ORSTED),390.6,390.6,385.4,385.4,389.3,420230296.0
2024-04-24 10:49:57,Oersted AS (ORSTED),390.6,390.6,385.4,385.4,389.3,420230296.0
2024-04-24 10:50:10,Oersted AS (ORSTED),390.6,390.6,385.5,385.6,389.3,420230296.0
2024-04-24 10:50:23,Oersted AS (ORSTED),390.6,390.6,385.4,385.4,389.3,420230296.0
2024-04-24 10:50:35,Oersted AS (ORSTED),390.6,390.6,385.4,385.4,389.3,420230296.0
2024-04-24 10:50:48,Oersted AS (ORSTED),390.6,390.6,385.4,385.4,389.3,420230296.0
2024-04-24 10:51:01,Oersted AS (ORSTED),390.6,390.6,385.4,385.4,389.3,420230296.0
2024-04-24 10:51:14,Oersted AS (ORSTED),390.6,390.6,384.9,384.9,389.3,420230296.0
2024-04-24 10:51:28,Oersted AS (ORSTED),390.6,390.6,384.9,384.9,389.3,420230296.0
2024-04-24 10:51:41,Oersted AS (ORSTED),390.6,390.6,384.9,384.9,389.3,420230296.0
2024-04-24 10:51:54,Oersted AS (ORSTED),390.6,390.6,384.9,384.9,389.3,420230296.0
2024-04-24 10:52:07,Oersted AS (ORSTED),390.6,390.6,384.7,384.9,389.3,420230296.0
2024-04-24 10:52:20,Oersted AS (ORSTED),390.6,390.6,384.7,384.9,389.3,420230296.0
2024-04-24 10:52:33,Oersted AS (ORSTED),390.6,390.6,384.7,384.9,389.3,420230296.0
2024-04-24 10:52:46,Oersted AS (ORSTED),390.6,390.6,384.7,384.9,389.3,420230296.0
2024-04-24 10:52:59,Oersted AS (ORSTED),390.6,390.6,384.7,384.9,389.3,420230296.0
2024-04-24 10:53:12,Oersted AS (ORSTED),390.6,390.6,384.7,384.9,389.3,420230296.0
2024-04-24 10:53:25,Oersted AS (ORSTED),390.6,390.6,384.7,384.9,389.3,420230296.0
2024-04-24 10:53:38,Oersted AS (ORSTED),390.6,390.6,384.7,384.9,389.3,420230296.0
2024-04-24 10:53:51,Oersted AS (ORSTED),390.6,390.6,384.7,384.9,389.3,420230296.0
2024-04-24 10:54:04,Oersted AS (ORSTED),390.6,390.6,384.7,384.9,389.3,420230296.0
2024-04-24 10:54:17,Oersted AS (ORSTED),390.6,390.6,384.7,384.7,389.3,420230296.0
2024-04-24 10:54:29,Oersted AS (ORSTED),390.6,390.6,384.7,384.7,389.3,420230296.0
2024-04-24 10:54:42,Oersted AS (ORSTED),390.6,390.6,384.7,384.7,389.3,420230296.0
2024-04-24 10:54:55,Oersted AS (ORSTED),390.6,390.6,384.7,384.7,389.3,420230296.0
2024-04-24 10:55:09,Oersted AS (ORSTED),390.6,390.6,384.7,384.7,389.3,420230296.0
2024-04-24 10:55:21,Oersted AS (ORSTED),390.6,390.6,384.7,384.7,389.3,420230296.0
2024-04-24 10:55:34,Oersted AS (ORSTED),390.6,390.6,384.7,384.7,389.3,420230296.0
2024-04-24 10:55:47,Oersted AS (ORSTED),390.6,390.6,384.4,384.4,389.3,420230296.0
2024-04-24 10:56:00,Oersted AS (ORSTED),390.6,390.6,384.7,384.7,389.3,420230296.0
2024-04-24 10:56:13,Oersted AS (ORSTED),390.6,390.6,384.4,384.4,389.3,420230296.0
2024-04-24 10:56:26,Oersted AS (ORSTED),390.6,390.6,384.4,384.4,389.3,420230296.0
